customer_id,name,country,region,segment,signup_date
1,Hrishita Samra,India,North,SME,2023-07-18
2,Vidur Saha,India,South,Retail,2022-07-29
3,Rati Gala,India,North,SME,2024-05-14
4,Nehmat Subramanian,India,North,Retail,2023-03-24
5,Kaira Mane,India,North,SME,2023-02-12
6,Rati Gala,India,West,Retail,2024-07-08
7,Shalv Gulati,India,East,Retail,2022-11-23
8,Kashvi Master,India,East,Corporate,2022-11-15
9,Aarush Doctor,India,East,Retail,2022-07-09
10,Samar Bhat,India,North,Corporate,2023-12-06
11,Adah Dhingra,India,East,Retail,2024-07-29
12,Rati Gala,India,North,Corporate,2022-06-11
13,Drishya Choudhury,India,East,SME,2024-01-11
14,Azad Acharya,India,South,SME,2022-05-23
15,Nehmat Subramanian,India,South,Corporate,2022-06-13
16,Kaira Mane,India,North,Corporate,2023-07-24
17,Jiya Saran,India,East,Retail,2024-01-29
18,Indranil Varty,India,South,SME,2023-07-01
19,Miraya Jayaraman,India,South,SME,2023-05-17
20,Sahil Wali,India,West,Corporate,2023-07-07
21,Drishya Choudhury,India,South,SME,2023-10-27
22,Azad Thakkar,India,South,Retail,2023-10-09
23,Jayant Shenoy,India,East,Retail,2023-03-09
24,Azad Acharya,India,East,Retail,2024-10-19
25,Jayant Shenoy,India,West,Retail,2023-06-27
26,Bhavin Choudhury,India,South,SME,2023-06-23
27,Shalv Gulati,India,West,SME,2024-03-28
28,Ryan Bumb,India,South,Retail,2024-11-09
29,Eva Dugal,India,North,Retail,2022-08-13
30,Divij Buch,India,South,SME,2024-05-14
31,Adah Dhingra,India,North,Corporate,2024-02-21
32,Adah Dhingra,India,West,SME,2023-05-30
33,Drishya Choudhury,India,North,SME,2022-08-23
34,Rati Gala,India,East,SME,2023-11-28
35,Hrishita Samra,India,East,Corporate,2022-11-20
36,Jiya Saran,India,North,SME,2023-06-24
37,Raghav Sood,India,South,SME,2022-08-06
38,Arnav Deo,India,South,Retail,2024-02-05
39,Sahil Wali,India,North,SME,2023-10-26
40,Eva Dugal,India,North,Retail,2024-01-14
41,Arnav Deo,India,South,Retail,2023-05-09
42,Azad Acharya,India,North,Retail,2024-09-22
43,Miraya Jayaraman,India,South,Retail,2024-08-31
44,Drishya Choudhury,India,South,Corporate,2024-12-16
45,Adah Dhingra,India,West,Retail,2023-02-16
46,Arnav Deo,India,West,SME,2024-02-04
47,Rati Goda,India,West,Retail,2023-05-23
48,Kaira Mane,India,North,Corporate,2022-02-13
49,Shalv Gulati,India,South,SME,2023-03-28
50,Elakshi Kurian,India,North,SME,2022-05-01
51,Kaira Mane,India,North,Retail,2023-11-08
52,Miraya Jayaraman,India,South,Corporate,2024-09-21
53,Aarush Doctor,India,South,SME,2024-08-26
54,Vidur Saha,India,West,Corporate,2023-01-25
55,Siya Kurian,India,North,SME,2024-06-01
56,Indranil Varty,India,West,Corporate,2024-08-14
57,Azad Thakkar,India,North,Retail,2024-04-04
58,Lakshit Bhasin,India,North,Retail,2023-01-28
59,Nirvaan Ganesh,India,West,Retail,2024-05-14
60,Neysa Kant,India,East,Corporate,2023-05-27
61,Miraya Jayaraman,India,West,SME,2022-07-20
62,Azad Thakkar,India,North,Retail,2023-04-30
63,Sahil Wali,India,West,Corporate,2024-09-12
64,Aarush Doctor,India,West,Retail,2022-12-04
65,Samar Bhat,India,North,Corporate,2023-06-28
66,Jiya Saran,India,East,Corporate,2024-09-23
67,Divij Buch,India,South,Corporate,2023-03-22
68,Azad Thakkar,India,North,SME,2023-10-05
69,Azad Thakkar,India,North,SME,2024-09-03
70,Raghav Sood,India,South,Retail,2024-11-06
71,Arnav Gour,India,South,Retail,2022-05-20
72,Vidur Saha,India,West,Retail,2023-05-20
73,Shalv Gulati,India,North,SME,2022-06-17
74,Tarini Chaudhry,India,East,Corporate,2023-02-23
75,Tara Bal,India,South,Corporate,2024-03-21
76,Bhavin Choudhury,India,East,Corporate,2023-10-10
77,Miraya Jayaraman,India,North,Corporate,2022-07-24
78,Miraya Jayaraman,India,South,SME,2023-06-28
79,Bhavin Choudhury,India,East,Retail,2023-05-16
80,Ryan Bumb,India,East,Retail,2024-06-16
81,Rati Gala,India,East,SME,2024-12-19
82,Elakshi Kurian,India,East,SME,2022-08-01
83,Bhavin Choudhury,India,East,Retail,2022-08-08
84,Drishya Choudhury,India,South,Corporate,2023-08-01
85,Adah Dhingra,India,South,SME,2023-12-04
86,Aarush Doctor,India,East,SME,2024-09-27
87,Jayant Thaman,India,North,Retail,2024-05-17
88,Abram Handa,India,North,Retail,2023-11-15
89,Bhavin Choudhury,India,East,Retail,2024-06-23
90,Drishya Choudhury,India,West,SME,2022-01-20
91,Hrishita Samra,India,North,SME,2022-11-02
92,Rati Gala,India,North,Corporate,2022-10-31
93,Kashvi Master,India,South,Retail,2023-09-24
94,Ryan Bumb,India,North,Corporate,2023-03-07
95,Vidur Saha,India,North,Corporate,2024-04-12
96,Romil Sathe,India,South,Retail,2022-11-29
97,Neysa Kant,India,West,Retail,2023-01-03
98,Lakshit Bhasin,India,West,SME,2023-05-24
99,Abram Handa,India,South,SME,2022-08-10
100,Samar Bhat,India,North,Corporate,2023-04-01
101,Nirvaan Ganesh,India,West,Corporate,2023-09-18
102,Kaira Mane,India,South,Retail,2023-01-31
103,Jayant Shenoy,India,East,Corporate,2022-05-23
104,Abram Handa,India,East,SME,2024-11-09
105,Jayant Shenoy,India,East,Retail,2022-08-25
106,Jayant Thaman,India,South,SME,2023-06-28
107,Nehmat Subramanian,India,North,SME,2024-06-08
108,Indranil Varty,India,East,Corporate,2024-11-13
109,Hrishita Samra,India,West,SME,2023-01-25
110,Jayant Thaman,India,North,SME,2024-06-12
111,Elakshi Kurian,India,South,Corporate,2024-06-02
112,Miraya Jayaraman,India,East,SME,2023-10-05
113,Hrishita Samra,India,East,SME,2023-09-26
114,Tarini Chaudhry,India,East,Corporate,2023-08-29
115,Drishya Choudhury,India,South,Retail,2024-05-11
116,Samar Bhat,India,South,SME,2023-09-09
117,Jayant Shenoy,India,North,Corporate,2023-08-11
118,Aarush Doctor,India,West,SME,2023-10-22
119,Jiya Saran,India,West,Corporate,2023-03-14
120,Raghav Sood,India,West,SME,2022-12-14
121,Arnav Gour,India,East,SME,2023-11-18
122,Arnav Gour,India,South,SME,2023-09-28
123,Kaira Mane,India,South,Retail,2022-02-20
124,Nehmat Subramanian,India,South,Corporate,2022-05-30
125,Jiya Saran,India,West,SME,2023-02-03
126,Samar Bhat,India,West,Corporate,2023-05-15
127,Divij Buch,India,North,Retail,2024-05-20
128,Kaira Mane,India,South,SME,2024-11-26
129,Jiya Saran,India,North,SME,2023-05-26
130,Hrishita Samra,India,West,Retail,2024-08-09
131,Indrajit Yogi,India,East,Corporate,2024-10-30
132,Kashvi Master,India,West,Retail,2024-08-30
133,Rati Goda,India,East,Retail,2023-07-22
134,Indrajit Yogi,India,West,SME,2023-05-05
135,Abram Handa,India,West,Retail,2023-08-09
136,Vidur Saha,India,East,Corporate,2023-10-17
137,Rati Gala,India,North,Retail,2022-11-05
138,Kaira Mane,India,West,SME,2022-11-09
139,Aarush Doctor,India,North,Corporate,2024-04-14
140,Lakshit Bhasin,India,West,Corporate,2022-05-08
141,Aarush Doctor,India,West,Corporate,2022-02-10
142,Azad Acharya,India,West,Corporate,2022-01-13
143,Indranil Varty,India,East,Corporate,2024-05-08
144,Rati Gala,India,South,Corporate,2023-03-26
145,Abram Handa,India,West,Corporate,2022-03-01
146,Samar Bhat,India,East,SME,2024-04-08
147,Sahil Wali,India,West,Retail,2024-12-29
148,Riaan Sanghvi,India,West,SME,2022-02-25
149,Arnav Gour,India,West,Retail,2024-08-03
150,Neysa Kant,India,North,Corporate,2024-02-16
151,Tara Bal,India,South,Corporate,2023-11-01
152,Lakshit Bhasin,India,West,Corporate,2024-05-13
153,Jayant Thaman,India,North,Corporate,2022-02-09
154,Rati Gala,India,North,Corporate,2023-04-05
155,Miraya Jayaraman,India,North,Retail,2023-05-22
156,Nirvaan Ganesh,India,North,SME,2022-11-09
157,Vidur Saha,India,South,Corporate,2022-08-23
158,Azad Acharya,India,South,Corporate,2023-06-09
159,Ryan Bumb,India,South,SME,2022-08-23
160,Sahil Wali,India,East,Retail,2022-02-22
161,Arnav Deo,India,West,Corporate,2023-02-11
162,Miraya Jayaraman,India,South,Retail,2023-09-10
163,Adah Dhingra,India,North,SME,2022-03-26
164,Indranil Varty,India,West,SME,2024-01-29
165,Miraya Jayaraman,India,East,Retail,2024-05-10
166,Eva Dugal,India,North,Corporate,2024-01-12
167,Jiya Saran,India,South,Corporate,2022-12-27
168,Indrajit Yogi,India,East,SME,2024-09-17
169,Jiya Saran,India,West,SME,2023-07-04
170,Tara Bal,India,South,Retail,2023-07-26
171,Rati Goda,India,South,Corporate,2024-02-16
172,Lakshit Bhasin,India,North,Corporate,2023-10-28
173,Neysa Kant,India,West,Retail,2023-12-28
174,Jayant Thaman,India,East,Corporate,2023-07-20
175,Drishya Choudhury,India,North,SME,2023-01-27
176,Arnav Gour,India,South,SME,2024-04-12
177,Eva Dugal,India,South,SME,2024-09-02
178,Eva Dugal,India,West,Retail,2022-07-10
179,Sumer Goyal,India,South,Corporate,2023-05-14
180,Arnav Deo,India,East,Corporate,2024-12-23
181,Indranil Varty,India,West,SME,2023-11-09
182,Indranil Varty,India,West,Corporate,2023-09-20
183,Jayant Thaman,India,South,Retail,2023-01-30
184,Tara Bal,India,North,SME,2023-01-15
185,Nirvaan Ganesh,India,South,SME,2024-09-18
186,Abram Handa,India,East,Retail,2023-02-02
187,Sumer Goyal,India,South,Corporate,2023-01-03
188,Arnav Deo,India,North,SME,2024-12-29
189,Bhavin Choudhury,India,East,Retail,2022-04-22
190,Drishya Choudhury,India,East,SME,2022-09-16
191,Eva Dugal,India,North,Retail,2023-08-06
192,Zain Datta,India,West,Corporate,2023-11-29
193,Neysa Kant,India,North,Corporate,2024-09-05
194,Hrishita Samra,India,North,Corporate,2024-10-04
195,Miraya Jayaraman,India,North,Retail,2022-11-02
196,Azad Acharya,India,East,Retail,2023-05-24
197,Hrishita Samra,India,West,SME,2023-04-08
